AUC,ACC,NLL,RMSE,ECE,Brier,REL,RES,n_events,n_pos,n_neg,kc_id,dataset,model,level,seed
0.6681057695759881,0.7610294117647058,0.5225401293607248,0.4141839456073222,0.0440367100650773,0.17154834079884923,0.005165657721503804,0.014046272935588617,1360,1038,322,106,assist2012,dkt,t100,42
0.6440312507492029,0.653179190751445,0.6196055039643291,0.46406285187724733,0.03397550206849829,0.21535433049244398,0.0020830354369769243,0.014235351893681176,1211,787,424,11,assist2012,dkt,t100,42
0.5455125972367353,0.8525469168900804,0.43706080308855744,0.3587239067051179,0.0629667392045499,0.12868284124178211,0.005588918122574815,0.00072276000897694,373,319,54,110,assist2012,dkt,t100,42
0.6401302044715607,0.6290046466128638,0.6933075606093271,0.4863394171710704,0.1013137770073721,0.23652602869429643,0.013631177315953005,0.01377246420627795,4089,2508,1581,12,assist2012,dkt,t100,42
0.586846624987091,0.6779124934106484,0.6269383540354191,0.46549404530418914,0.05511107752526752,0.2166847062136585,0.004075390516922749,0.0061684225233063945,3794,2569,1225,13,assist2012,dkt,t100,42
0.6042222645825391,0.8362369337979094,0.4344319504863699,0.3648934853260323,0.05820491100022186,0.1331472556333793,0.0112163043973223,0.00427394899453917,287,244,43,14,assist2012,dkt,t100,42
0.5408225139106863,0.7012847965738758,0.5807455144340832,0.4439257384411293,0.1059220669462713,0.19707006125050197,0.020726604114171022,0.002079858539595722,2802,2150,652,15,assist2012,dkt,t100,42
0.5670340859392085,0.7163072776280324,0.5888756003842539,0.4465770989158866,0.030400351332525707,0.19943110527612956,0.002556439606331178,0.002983577237695964,1484,1076,408,16,assist2012,dkt,t100,42
0.6424732750242954,0.6049766718506998,0.6844907115599955,0.49233256584950413,0.1012394536072229,0.2423913553959563,0.013796241702439527,0.02026601113919112,643,343,300,166,assist2012,dkt,t100,42
0.5322369222271965,0.5168899242865463,0.690535408181744,0.49875652082536587,0.06141521312604484,0.24875806706582362,0.005224502138918282,0.003497344142964022,3434,1535,1899,17,assist2012,dkt,t100,42
0.5229853787927801,0.7312153303076148,0.5947098488257226,0.4473111047004521,0.05603013689988081,0.2000872243883388,0.004446063860935276,0.001543478137389487,3966,2900,1066,18,assist2012,dkt,t100,42
0.512467065098644,0.6450381679389313,0.6670468714202212,0.4838245219485107,0.09681605166606318,0.2340861680387049,0.018621697278366392,0.011213103779679606,262,171,91,181,assist2012,dkt,t100,42
0.48018018018018016,0.7115384615384616,0.7240327305806056,0.4913449269711419,0.20040223690179676,0.24141983726027677,0.055359499850230004,0.018183793156040774,104,74,30,192,assist2012,dkt,t100,42
0.6058429118773947,0.5355191256830601,0.6883351807862883,0.4973431760214224,0.076447792066251,0.24735023473507556,0.009195421454057712,0.009565469808987417,183,87,96,203,assist2012,dkt,t100,42
0.5525950576954182,0.5144904954814584,0.8139157448567648,0.5400287120166537,0.20726599573366983,0.29163100980236595,0.0662520877901863,0.006618399439073803,3209,2038,1171,21,assist2012,dkt,t100,42
0.7014418999151824,0.655421686746988,0.6256072464421836,0.46615074233163317,0.07853573725884219,0.21729651457633264,0.010139285027241346,0.023672873521537362,415,262,153,217,assist2012,dkt,t100,42
0.55219728070796,0.6975867269984917,0.6182050978013391,0.46078005184163856,0.09593665145820802,0.21231825617518313,0.013697854821889335,0.003806063778146635,2652,1901,751,22,assist2012,dkt,t100,42
0.6844470046082949,0.848087431693989,0.397943741606475,0.34730212205112204,0.022838474948549528,0.12061876398121248,0.0012228909781266902,0.009882310609257046,915,775,140,24,assist2012,dkt,t100,42
0.5852982863033114,0.5183098591549296,0.6920856014235474,0.4996811040306885,0.10068961965366147,0.24968120572532776,0.013660068700871029,0.011303134574457096,355,199,156,240,assist2012,dkt,t100,42
