dataset,model,seed,fold,bucket,n_kcs,n_events,auc,acc,nll,rmse,ece,brier,uncertainty,reliability,resolution
xes3g5m,irt_1pl,2024,1,dense,499,1269206,0.5,0.7955879502618173,0.5629721965458722,0.43175097723634587,0.15421135718397083,0.18640890634453966,0.16262776366001744,0.023781142684522232,0.0
xes3g5m,irt_1pl,2024,1,medium,172,12772,0.5,0.7854682117131224,0.568855245438035,0.43505205971497907,0.14409161863527575,0.18927029466224574,0.16850790010131192,0.020762394560933747,0.0
xes3g5m,irt_1pl,2024,1,sparse,121,2014,0.5,0.7666335650446872,0.5798046535362616,0.4411301973543214,0.1252569719668405,0.19459585101786253,0.17890654199156059,0.015689309026301865,0.0
xes3g5m,irt_1pl,2024,1,very_sparse,40,132,0.5,0.7878787878787878,0.5674538715415995,0.4342680008599906,0.1465021948009414,0.18858869657093283,0.16712580348943987,0.021462893081492983,0.0
xes3g5m,irt_1pl,2024,1,strict_cold_start,4,4,0.5,0.5,0.7348104663743678,0.5196030610670986,0.14137659307784656,0.26998734107029904,0.25,0.019987341070299012,0.0
xes3g5m,dkt,2024,1,dense,499,1267190,0.818092342220563,0.8349773909200673,0.38561063614221625,0.3469628556157058,0.03683251306067986,0.1203832231770051,0.1595524718172707,0.002425087949666401,0.04106312445387627
xes3g5m,dkt,2024,1,medium,172,13005,0.8590621186355762,0.8462129950019224,0.4296686745262915,0.34345485004138365,0.08251938022874533,0.11796123401694933,0.16392397506001666,0.011247862419486249,0.056052898919192795
xes3g5m,dkt,2024,1,sparse,121,2121,0.8603769569518157,0.8279113625648279,0.6165426666064873,0.3737988160113517,0.11302731401745324,0.13972555485148835,0.18696846447627186,0.017702268960282753,0.06366516859883653
xes3g5m,dkt,2024,1,very_sparse,39,105,0.8635571054925893,0.7904761904761904,0.7169795692671177,0.4114931218842412,0.1695591641034341,0.16932658935803896,0.20807256235827662,0.0516155775458781,0.08698682205122486
xes3g5m,dkt,2024,1,strict_cold_start,1,1,,0.0,0.8213509199218076,0.5601629316806793,0.5601629316806793,0.3137825100290934,0.0,0.3137825100290934,0.0
xes3g5m,simplekt,2024,1,dense,499,1267190,0.7550213040818781,0.809835147057663,0.6068284009523658,0.3898975633229362,0.11300548552048442,0.15202010988516304,0.1595524718172707,0.016984384551927693,0.023568050313941578
xes3g5m,simplekt,2024,1,medium,172,13005,0.8269373339778663,0.8368319876970396,0.6171750071614855,0.36654033450984547,0.11078693697534148,0.13435181682258943,0.16392397506001666,0.01756721946164857,0.04615464657436883
xes3g5m,simplekt,2024,1,sparse,121,2121,0.8438474909167,0.8189533239038189,0.6998013256379936,0.3866753912750124,0.12881335942886452,0.14951785821768393,0.18696846447627186,0.022191227669738686,0.058685583596332025
xes3g5m,simplekt,2024,1,very_sparse,39,105,0.8411072362685266,0.780952380952381,0.9235768705525643,0.4203775989559729,0.18356532078604298,0.17671732570398876,0.20807256235827662,0.04568380996543013,0.07469387755102039
xes3g5m,simplekt,2024,1,strict_cold_start,1,1,,0.0,1.4723542938619103,0.7706151902675629,0.7706151902675629,0.5938477714711121,0.0,0.5938477714711121,0.0
xes3g5m,irt_1pl,2025,2,dense,497,1270099,0.5,0.7945577470732597,0.5631035735160561,0.4318393441037429,0.1524778196224793,0.18648521911595087,0.16323573363912558,0.023249485476825336,0.0
